City,Slum_HH,PMAY.PMAY_HH,Surplus,Latitude,Longitude
Maduranthakam,1082,2916,1834,12.5089244,79.88473549999999
Khudaganj,225,2056,1831,27.1823773,79.6754694
Nargund,1123,2950,1827,15.7213753,75.3849382
Puducherry,10207,12033,1826,11.9415915,79.8083133
Kaliaganj,4895,6700,1805,25.6355626,88.3287896
Tanda,1883,3685,1802,26.5432647,82.66454689999999
Shamsabad,585,2384,1799,27.53634,79.4394459
Ghoghardiha,235,2027,1792,26.2835025,86.4657543
Nai,260,2050,1790,25.254672,85.19329049999999
Susner,486,2273,1787,23.9428099,76.1001009
Mohammadi,670,2451,1781,27.9541937,80.2084091
Begamganj,346,2125,1779,23.6011232,78.3359475
Anandpur,956,2732,1776,31.2355318,76.5012734
Jintur,1028,2803,1775,19.6086799,76.68458319999999
Jiaganj-Azimganj,5874,7645,1771,24.2351094,88.26071879999999
Kalavad,467,2235,1768,22.2081932,70.38070580000002
Nalbari,1175,2938,1763,26.4446185,91.4410527
Bishnupur,2851,4609,1758,23.067179,87.32146809999999
Nipani,1732,3484,1752,16.4041668,74.3786387
Kandhla,633,2377,1744,29.32388619999999,77.2721234
Tufanganj,800,2541,1741,26.3304643,89.6675144
Rehli,2686,4418,1732,23.6398907,79.06549489999999
Deoria,2471,4202,1731,26.5024286,83.7791283
Lalganj,2628,4358,1730,26.1650564,80.9705292
Hussainabad,409,2139,1730,24.3684226,86.6015736
Gandai,558,2285,1727,21.6647254,81.09035999999999
Bilgi,718,2432,1714,16.3401525,75.6295375
Digras,403,2108,1705,20.1068912,77.7125184
Bhabnan,569,2272,1703,26.9331861,82.50234640000001
Sherghati,78,1779,1701,24.5595131,84.7994271
Chittoor,12075,13770,1695,13.217176,79.1003289
Chapar,815,2509,1694,26.2740744,90.4431618
Rampur,3572,5256,1684,28.798299,79.02202869999999
Patiala,1303,2987,1684,30.3397809,76.3868797
Beohari,367,2049,1682,24.0236967,81.3784155
Ratnagiri,466,2142,1676,16.990215,73.31202329999999
Sinnar,747,2409,1662,19.8479813,73.9889645
Gummidipoondi,349,2010,1661,13.4109557,80.11697079999999
Wani,1228,2888,1660,20.0560751,78.9525208
Ranaghat,2570,4226,1656,23.1744548,88.5605732
Warisaliganj,1210,2864,1654,25.0125217,85.6383484
Areraj,790,2444,1654,26.5528394,84.6662199
Bilasipara,1641,3286,1645,26.2297599,90.2304034
Talikota,452,2089,1637,16.4939567,76.3289941
Birgaon,1998,3632,1634,21.3104288,81.6096511
Paintepur,263,1891,1628,27.2696817,81.1699264
Ghaziabad,63742,65367,1625,28.6691565,77.45375779999999
